,IN
Art,NNP
,,,
Media,NNP
American,NNP
Studies,NNP
(,(
Professional,NNP
Practice,NNP
),)
.,.
Candidates,NNPS
refer,VBP
queries,NNS
regarding,VBG
specific,JJ
Regulations,NNP
School,NNP
first,JJ
instance,NN
.,.
Candidates,NNP
initially,RB
submit,VBD
thesis,JJ
electronic,JJ
format,NN
also,RB
submit,VBD
two,CD
copies,NNS
thesis,VBP
secure,NN
soft,JJ
binding,VBG
sufficiently,RB
durable,JJ
assessment,JJ
process,NN
.,.
The,DT
examiners,NNS
sent,VBD
thesis,NN
soft-bound,NN
format,JJ
standard,NN
asked,VBD
appointment,JJ
notify,JJ
University,NNP
would,MD
prefer,VB
receive,JJ
copy,NN
thesis,NN
electronic,JJ
format,NN
.,.
The,DT
candidate,NN
also,RB
bring,VBG
soft-bound,JJ
copy,NN
thesis,NN
oral,JJ
examination,NN
reference,NN
discussions,NNS
.,.
No,DT
Pass,NNP
List,NNP
issued,VBD
successful,JJ
assessment,JJ
thesis,NN
resubmitted,VBD
form,NN
outlined,VBN
Research,NNP
Degree,NNP
Policy,NNP
Document,NNP
3,CD
Degrees,NNS
:,:
Submission,NN
candidate,NN
confirmed,VBD
changes,NNS
,,,
required,VBD
examiners,NNS
,,,
made,VBN
part,NN
thesis,NN
previously,RB
assessed,VBN
.,.
Where,WRB
redaction,NN
material,JJ
thesis,NN
approved,VBD
University,NNP
,,,
copy,NN
redacted,VBD
version,NN
thesis,NN
must,MD
also,RB
submitted,VBN
time,NN
.,.
Two,CD
copies,NNS
thesis,NN
required,VBN
candidate,NN
,,,
one,CD
electronic,JJ
format,NN
one,CD
hard-bound,NN
format,NN
.,.
The,DT
Pass,NNP
List,NNP
issued,VBD
print,JJ
version,NN
electronic,JJ
version,NN
thesis,NN
deposited,VBD
University,NNP
.,.
Page,VB
25,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
c,NN
),)
Submission,NNP
Thesis,NNP
The,DT
thesis,NN
submitted,VBD
later,JJ
end,NN
Period,NNP
Registration,NNP
set,VBD
previously,RB
.,.
If,IN
appears,VBZ
likely,JJ
deadline,NN
met,VBD
School/Institute,NNP
Director,NNP
Postgraduate,NNP
Research,NNP
consulted,VBD
immediately,RB
.,.
Submission,NNP
thesis,NN
means,VBZ
submission,NN
finished,VBN
thesis,NN
University,NNP
final,JJ
draft,NN
supervisor,NN
approval,NN
.,.
Theses,NNS
submitted,VBD
Postgraduate,NNP
Research,NNP
Service,NNP
.,.
Changes,NNP
thesis,NN
submission,NN
approved,VBD
extremely,RB
limited,JJ
circumstances,NNS
may,MD
subject,VB
fee,NN
.,.
),)
Confidentiality,NN
Restrictions,NNP
Restricted,NNP
Access,NNP
thesis,NN
(,(
embargo,NN
),)
The,DT
thesis,NN
submitted,VBD
examiners,NNS
basis,NN
treat,NN
contents,NNS
,,,
issues,NNS
relating,VBG
candidature,NN
,,,
strictly,RB
confidential,JJ
periods,NNS
,,,
following,VBG
examination,NN
,,,
stage,NN
work,NN
may,MD
published,VB
accordance,NN
normal,JJ
academic,JJ
custom,NN
.,.
A,DT
thesis,NN
may,MD
subject,VB
period,NN
specific,JJ
confidentiality,NN
restrictions,NNS
industrial,JJ
support,NN
research,NN
project,NN
,,,
proprietary,JJ
materials,NNS
supplied,VBD
Material,NNP
Transfer,NNP
Agreement,NNP
,,,
possible,JJ
patents,NNS
may,MD
arise,VB
research,NN
degree,JJ
candidate,NN
work,NN
,,,
reasons,NNS
.,.
The,DT
UEA,NN
policy,NN
Intellectual,NNP
Property,NNP
Rights,NNP
(,(
IPR,NNP
),)
gives,VBZ
details,NNS
.,.
A,DT
thesis,NN
may,MD
also,RB
need,VB
access,NN
restrictions,NNS
(,(
embargo,NN
),)
due,JJ
containing,VBG
third,JJ
party,NN
copyright,VBD
material,NN
,,,
data,NN
protection,NN
research,NN
subjects,VBZ
candidate,JJ
negotiations,NNS
publisher,NN
regarding,VBG
commercial,JJ
publication,NN
(,(
parts,NNS
),)
thesis,NN
.,.
The,DT
default,NN
option,NN
following,VBG
final,JJ
submission,NN
thesis,NN
thesis,NN
open,JJ
access,NN
.,.
This,DT
means,VBZ
e-thesis,JJ
automatically,RB
public,JJ
domain,NN
via,IN
University,NNP
E-Theses,NNP
Repository,NNP
UK,NNP
Electronic,NNP
Theses,NNP
Online,NNP
Service,NNP
(,(
EThOS,NNP
),)
,,,
unless,IN
candidate,NN
requests,NNS
thesis,VBP
temporarily,RB
embargoed,VBN
-,:
The,DT
decision,NN
whether,IN
embargo,NN
thesis,NN
made,VBD
candidate,NN
,,,
following,VBG
full,JJ
discussion,NN
supervisory,NN
team,NN
consideration,NN
external,JJ
requirements,NNS
.,.
Partial,JJ
embargoes,NNS
permitted,VBD
within,IN
Regulations,NNP
,,,
whereby,WRB
majority,NN
full,JJ
text,NN
openly,RB
available,JJ
sections,NNS
embargoed,VBP
(,(
redacted,VBN
),)
necessary,JJ
.,.
Further,JJ
guidance,NN
candidates,NNS
supervisors,NNS
provided,VBD
Guidance,NNP
notes,NNS
Research,NNP
Degree,NNP
Thesis,NNP
Deposit,NNP
Accessthe,NNP
PGR,NNP
website,NN
.,.
Candidates,NNS
must,MD
notify,VB
Postgraduate,NNP
Research,NNP
Service,NNP
confidentiality,NN
restrictions,NNS
and/or,VBP
wish,JJ
temporarily,RB
embargo,VBP
thesis,NN
Research,NNP
Degree,NNP
Entry,NNP
Form,NNP
submitting,VBG
thesis,NN
.,.
Changes,NNS
thesis,VBP
final,JJ
submission,NN
electronic,JJ
hard-bound,NN
copies,NNS
thesis,VBP
approved,VBN
limited,JJ
circumstances,NNS
may,MD
subject,VB
payment,NN
fee,NN
.,.
Page,VB
26,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
ment,NN
sponsor,NN
anyone,NN
else,RB
specified,VBD
examiners,NNS
must,MD
undertake,VB
keep,VB
confidential,JJ
work,NN
submitted,VBN
examination,NN
,,,
examiners,NNS
asked,VBD
sign,JJ
confidentiality,NN
agreement,NN
regarding,VBG
contents,NNS
thesis,JJ
period,NN
examination,NN
period,NN
thereafter,RB
restricted,VBD
access,NN
may,MD
granted,VB
.,.
Candidates,NNS
asked,VBD
apply,RB
arranged,VBN
appointment,NN
examiners,NNS
requested,VBD
.,.
The,DT
University,NNP
designated,VBN
public,JJ
authority,NN
Freedom,NNP
Information,NNP
Act,NNP
2000,CD
.,.
This,DT
Act,NNP
gives,VBZ
general,JJ
right,JJ
access,NN
information,NN
held,VBD
University,NNP
,,,
including,VBG
information,NN
held,VBD
e-theses,JJ
repository,NN
.,.
As,IN
matter,NN
normal,JJ
practice,NN
make,VBP
thesis,NN
material,NN
available,JJ
accordance,NN
restrictions,NNS
placed,VBD
upon,IN
.,.
However,RB
,,,
someone,NN
specifically,RB
asks,VBZ
see,NN
,,,
must,MD
give,VB
access,NN
unless,IN
thesis,NN
qualifies,NNS
exemption,VBP
Act,NNP
.,.
e,NN
),)
Plagiarism,NNP
Certificate,NNP
Originality,NNP
It,PRP
responsibility,VBD
School,NNP
Institute,NNP
make,VBP
research,NN
degree,NN
candidate,NN
aware,JJ
legal,JJ
ethical,JJ
principles,NNS
originality,NN
copyright,NN
.,.
To,TO
avoid,VB
charges,NNS
plagiarism,VBP
copyright,JJ
infringement,NN
,,,
candidate,NN
must,MD
acknowledge,VB
clearly,RB
use,JJ
secondary,JJ
source,NN
point,NN
used,VBN
obtain,VB
acknowledge,JJ
permission,NN
reproduce,NN
published,VBN
work,NN
.,.
Reference,NNP
also,RB
needs,VBZ
made,VBN
contributions,NNS
sources,NNS
research,NN
involved,VBN
working,VBG
others,NNS
way,NN
.,.
When,WRB
thesis,NN
submitted,VBN
examination,NN
,,,
candidate,NN
required,VBD
complete,JJ
Certificate,NNP
Originality,NNP
cover,NN
areas,NNS
.,.
Plagiarism,NN
,,,
intentional,JJ
,,,
may,MD
give,VB
rise,NN
charge,NN
Misconduct,NNP
Research,NNP
.,.
Any,NNP
allegations,NNS
handled,VBD
accordance,NN
Procedures,NNS
Investigating,VBG
Allegations,NNP
Research,NNP
Misconduct,NNP
Made,NNP
Against,NNP
Students,NNP
.,.
12,CD
.,.
Appointment,NN
Examiners,NNPS
The,DT
procedures,NNS
nomination,VBP
appointment,JJ
examiners,NNS
contained,VBD
Research,NNP
Degree,NNP
Policy,NNP
Document,NNP
8,CD
:,:
internal,JJ
external,JJ
examiners,NNS
appointed,VBD
Faculty,NNP
Associate,NNP
Deans,NNP
(,(
Postgraduate,NNP
Research,NNP
),)
equivalent,NN
,,,
behalf,JJ
Doctoral,NNP
College,NNP
Executive,NNP
,,,
recommendation,NN
Head,NNP
School,NNP
(,(
Chair,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executive,NNP
),)
.,.
There,EX
shall,MD
least,VB
one,CD
external,JJ
examiner,NN
.,.
Members,NNS
research,NN
degree,NN
candidateappointed,VBD
examiner,NN
;,:
Category,NNP
A,NNP
candidates,NNS
(,(
see,VB
Section,NNP
6,CD
Appendix,NNP
A,NNP
),)
,,,
examiners,NNS
appointed,VBD
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
,,,
behalf,JJ
Doctoral,NNP
College,NNP
Executive,NNP
recommendation,NN
Head,NNP
School,NNP
(,(
Page,NNP
27,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
Chair,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executive,NNP
),)
.,.
The,DT
examiners,NNS
exclusively,RB
external,JJ
Independent,NNP
Chair,NNP
appointed,VBD
.,.
While,IN
candidate,JJ
influence,NN
choice,NN
examiners,NNS
,,,
good,JJ
practice,NN
share,NN
freely,RB
candidate,JJ
information,NN
concerning,VBG
recommendation,NN
examiners,NNS
inform,VBP
ratification,NN
appointment,NN
.,.
Once,RB
thesis,NN
submitted,VBN
,,,
timing,VBG
oral,JJ
examination,NN
depend,VBP
availability,NN
examiners,NNS
take,VBP
place,NN
within,IN
three,CD
months,NNS
.,.
Exceptions,NNS
extension,NN
require,VBP
approval,NN
Head,NNP
Postgraduate,NNP
Research,NNP
Service,NNP
(,(
nominee,NN
),)
vivas,NN
taking,VBG
place,NN
within,IN
four,CD
months,NNS
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
,,,
behalf,JJ
Doctoral,NNP
College,NNP
Executive,NNP
,,,
requests,NNS
.,.
In,IN
exceptional,JJ
circumstances,NNS
,,,
Faculty,NNP
Associate,NNP
Dean,NNP
(,(
Postgraduate,NNP
Research,NNP
),)
equivalent,NN
may,MD
agree,VB
oral,JJ
examination,NN
(,(
viva,FW
),)
video-conference,NN
.,.
Video-conferencing,JJ
viewed,JJ
routine,JJ
alternative,JJ
face-to-face,NN
viva,NN
arranged,VBD
suitable,JJ
alternative,JJ
,,,
example,NN
candidate,NN
unable,JJ
attend,NN
viva,FW
University,NNP
health,NN
visa,NN
reasons,NNS
.,.
Where,WRB
oral,JJ
examination,NN
held,VBD
via,IN
video-conference,NN
Independent,NNP
Chair,NNP
appointed,VBD
,,,
responsible,JJ
ensuring,VBG
candidate,NN
disadvantaged,VBD
way,NN
compared,VBN
standard,JJ
face-to-face,JJ
oral,JJ
examination,NN
Guidance,NNP
use,NN
videoconferencing,VBG
Skype,NNP
(,(
equivalent,JJ
),)
oral,JJ
examination,NN
.,.
Candidates,NNS
assessed,VBD
solely,RB
basis,NN
thesis,NN
oral,JJ
examination,NN
permitted,VBD
make,VBP
formal,JJ
presentation,NN
(,(
e.g,JJ
.,.
PowerPoint,NN
),)
prior,JJ
part,NN
oral,JJ
examination,NN
,,,
unless,IN
reasonable,JJ
adjustment,NN
approved,VBD
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
candidate,NN
disabilities,NNS
,,,
physical,JJ
mental,JJ
health,NN
condition,NN
.,.
Members,NNS
supervisory,JJ
team,NN
permitted,VBD
present,JJ
oral,JJ
examination,NN
,,,
good,JJ
practice,NN
invite,JJ
primary,JJ
supervisor,NN
attend,JJ
end,NN
oral,JJ
examination,NN
examiners,NNS
communicate,VBP
recommendation,NN
candidate,NN
.,.
13,CD
.,.
Assessment,NNP
Thesis,NNP
),)
Regulations,NNPS
relating,VBG
Assessment,NNP
Examination,NNP
Regulations,NNP
relating,VBG
assessment,JJ
examination,NN
research,NN
degrees,VBZ
set,VBN
degree,JJ
Regulations,NNS
.,.
The,DT
Regulations,NNPS
detail,NN
requirements,NNS
assessment,JJ
attaching,VBG
particular,JJ
postgraduate,NN
research,NN
awards,NNS
.,.
Research,NNP
degree,JJ
candidates,NNS
strongly,RB
advised,VBD
consult,NN
appropriate,JJ
regulations,NNS
prior,RB
oral,JJ
examination,NN
.,.
Some,DT
regulations,NNS
common,JJ
Schools,NNP
Institutes,NNP
,,,
example,NN
,,,
PhD,NNP
,,,
MPhil,NNP
.,.
Some,DT
regulations,NNS
applicable,JJ
one,CD
School,NNP
group,NN
Schools,NNP
-,:
MEd,NNP
,,,
LLM,NNP
Research,NNP
,,,
ClinPsyD,NNP
,,,
EdPsy,NNP
,,,
ProfD,NNP
,,,
MD,NNP
EdD,NNP
.,.
Page,VB
28,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
Additional,NNP
guidance,NN
examiners,NNS
individual,JJ
research,NN
degrees,NNS
approved,VBD
Doctoral,NNP
College,NNP
Executive,NNP
provided,VBD
Instructions,NNP
Examiners,NNP
.,.
b,NN
),)
Communication,NNP
Assessment,NNP
Outcomes,NNP
Each,DT
Examiner,NNP
research,NN
degree,NN
required,VBN
submit,NN
independent,JJ
preliminary,JJ
report,NN
prior,RB
oral,JJ
examination,NN
,,,
details,NNS
preliminary,JJ
view,NN
submitted,VBN
work,NN
.,.
The,DT
preliminary,JJ
reports,NNS
automatically,RB
released,VBN
candidate,NN
supervisory,NN
team,NN
,,,
made,VBD
available,JJ
requested,JJ
examination,NN
process,NN
completed,VBN
.,.
Immediately,RB
following,VBG
oral,JJ
examination,NN
examiners,NNS
required,VBD
submit,NN
joint,JJ
final,JJ
report,NN
recommendation,NN
School/Institute,NNP
Director,NNP
Postgraduate,NNP
Research,NNP
.,.
The,DT
School/Institute,NNP
Director,NNP
considered,VBD
reports,NNS
recommendations,NNS
shall,MD
make,VB
recommendations,NNS
line,NN
Regulations,NNPS
degree,NN
provide,VBP
Postgraduate,NNP
Research,NNP
Service,NNP
appropriate,JJ
action,NN
.,.
After,IN
oral,JJ
examination,NN
private,JJ
discussion,NN
examiners,NNS
,,,
examiners,NNS
agree,VBP
recommendation,NN
,,,
may,MD
communicate,VB
candidate,NN
(,(
primary,JJ
supervisor,NN
present,NN
),)
,,,
although,IN
making,VBG
clear,JJ
subject,JJ
confirmation,NN
University,NNP
.,.
revised,VBN
thesis,NN
given,VBN
option,NN
submitting,VBG
revised,VBN
thesis,NN
,,,
examiners,NNS
requested,VBD
compile,NN
jointly,RB
agreed,VBD
report,NN
indicating,VBG
thesis,NN
might,MD
revised,VBN
submit,VB
Postgraduate,NNP
Research,NNP
Service,NNP
.,.
Examiners,NNP
note,VBP
final,JJ
report,NN
seen,VBN
candidate,JJ
supervisory,JJ
team,NN
.,.
The,DT
Postgraduate,NNP
Research,NNP
Service,NNP
write,JJ
candidate,NN
notify,NNS
formally,RB
outcome,JJ
examination,NN
.,.
c,NN
),)
e,NN
reviewed,VBN
annually,RB
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
summary,JJ
report,NN
issues,NNS
arising,VBG
recommended,JJ
Doctoral,NNP
College,NNP
Executive,NNP
,,,
LTC,NNP
Senate,NNP
.,.
The,DT
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
request,JJS
action,NN
School,NNP
Institute,NNP
issues,NNS
requiring,VBG
urgent,JJ
attention,NN
arise,NN
.,.
14,CD
.,.
Resolving,VBG
Problems,NNPS
The,DT
School,NNP
Institute,NNP
ensure,VB
problems,NNS
grievances,NNS
dealt,RB
promptly,RB
,,,
either,DT
informal,JJ
mechanisms,NN
involving,VBG
,,,
appropriate,JJ
,,,
primary,JJ
supervisor/supervisory,NN
team,NN
designated,VBN
School/Institute,NNP
officer,NN
Page,NNP
29,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
responsible,JJ
person,NN
,,,
formal,JJ
procedures,NNS
(,(
appeals,NNS
complaints,NNS
see,VBP
),)
involving,VBG
School,NNP
Director,NNP
Institute,NNP
.,.
Research,NNP
degree,JJ
candidates,NNS
may,MD
,,,
time,NN
,,,
raise,VB
concerns,NNS
regarding,VBG
supervision,NN
matters,NNS
strict,VBP
confidence,NN
Head,NNP
School,NNP
Chair,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executive,NNP
nominated,VBD
representative,JJ
School,NNP
Institute,NNP
(,(
School/Institute,NNP
Director,NNP
Postgraduate,NNP
Research,NNP
),)
.,.
Candidates,NNPS
may,MD
seek,VB
advice,NN
administrative,JJ
matters,NNS
Postgraduate,NNP
Research,NNP
Service,NNP
academic,JJ
matters,NNS
appropriate,VBP
Faculty,NNP
Associate,NNP
Dean,NNP
and/or,NN
nominee,NN
.,.
Sources,NNPS
information,NN
advice,NN
outside,IN
Faculty,NNP
School,NNP
Study/Institute,NNP
include,VBP
Student,NNP
Services,NNPS
,,,
UEA,NNP
Student,NNP
Union,NNP
Advice,NNP
Service,NNP
UEA,NNP
Student,NNP
Union,NNP
Postgraduate,NNP
Education,NNP
Officer,NNP
.,.
In,IN
seeking,VBG
achieve,JJ
tity,NN
academic,JJ
programmes,NNS
,,,
Senate,NNP
approved,VBD
Academic,NNP
Appeals,NNP
Complaints,NNP
Procedure,NNP
.,.
The,DT
Academic,NNP
Appeals,NNP
Procedure,NNP
intended,VBD
allow,JJ
formal,JJ
raising,VBG
concerns,NNS
UEA,JJ
students,NNS
undertaking,VBG
taught,JJ
research,NN
programmes,NNS
regarding,VBG
academic,JJ
results,NNS
circumstances,NNS
relating,VBG
.,.
The,DT
Academic,JJ
Complaints,NNP
Procedure,NNP
intended,VBD
allow,JJ
formal,JJ
raising,VBG
concerns,NNS
UEA,JJ
students,NNS
undertaking,VBG
taught,JJ
research,NN
courses,NNS
regarding,VBG
academic,JJ
matters,NNS
relating,VBG
academic,JJ
results,NNS
.,.
The,DT
Academic,NNP
Appeals,NNP
Complaints,NNP
Procedure,NNP
students,NNS
published,VBN
,,,
along,IN
Non-Academic,JJ
Complaint,NNP
Procedure,NNP
,,,
University,NNP
Calendar,NNP
.,.
The,DT
Non-Academic,JJ
Complaint,NNP
procedure,NN
enables,VBZ
students,NNS
raise,VB
concerns,NNS
formally,RB
matters,NNS
responsibility,NN
University,NNP
,,,
directly,RB
relate,VBP
programme,NN
study,NN
,,,
associated,VBN
academic,JJ
facilities,NNS
academic,JJ
result,NN
,,,
marks,NNS
.,.
The,DT
Postgraduate,NNP
Research,NNP
Service,NNP
Student,NNP
Services,NNP
provide,VBP
assistance,NN
respect,NN
making,VBG
Academic,NNP
Appeal,NNP
Academic,NNP
Complaint,NNP
.,.
Any,NNP
student,NN
considering,VBG
making,VBG
Academic,JJ
Appeal,NNP
Academic,NNP
Complaint,NNP
strongly,RB
advised,VBD
seek,JJ
independent,JJ
advice,NN
Student,NNP
Union,NNP
Advice,NNP
Service,NNP
.,.
Refer,NNP
Appendix,NNP
C,NNP
contact,NN
details,NNS
.,.
Those,DT
determining,VBG
appeals,NNS
complaints,NNS
asked,VBD
ensure,VB
issues,NNS
general,JJ
practice,NN
policy,NN
arising,VBG
individual,JJ
cases,NNS
addressed,VBD
(,(
referred,JJ
appropriate,JJ
bodies,NNS
School,NNP
,,,
Institute,NNP
Faculty,NNP
Doctoral,NNP
College,NNP
Executive,NNP
),)
soon,RB
possible,JJ
.,.
An,DT
annual,JJ
audit,NN
analysis,NN
Academic,NNP
Appeals,NNP
Complaints,NNP
,,,
resulting,VBG
quality,NN
assurance,NN
enhancement,NN
matters,NNS
,,,
overseen,JJ
Postgraduate,NNP
Research,NNP
Service,NNP
.,.
Page,VB
30,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
APPENDIX,VBP
A,DT
Category,NN
A,NNP
Staff,NNP
Candidates,NNP
Candidates,NNP
research,NN
degrees,NNS
designated,VBD
Category,NNP
A,NNP
(,(
including,VBG
faculty,NN
Schools,NNP
candidates,NNS
Senate,NNP
shall,MD
determine,VB
),)
Category,NNP
B,NNP
.,.
The,DT
classification,NN
research,NN
degree,NN
candidates,NNS
Category,NNP
A,NNP
Category,NNP
B,NNP
made,VBD
point,NN
admission,NN
,,,
examination,NN
(,(
taken,VBN
date,NN
submission,NN
Application,NNP
Approval,NNP
Thesis,NNP
Title,NNP
Examiners,NNP
form,NN
),)
reviewed,VBD
annual,JJ
review,NN
progress,NN
.,.
If,IN
registered,VBN
research,NN
degree,NN
,,,
following,VBG
groups,NNS
staff,NN
always,RB
considered,VBN
Category,NNP
A,DT
:,:
All,DT
UEA,NNP
academic,JJ
staff,NN
;,:
Research,NNP
Associates,NNPS
Technical,NNP
Staff,NNP
based,VBN
School,NNP
Study,NNP
associated,VBD
UEA,NNP
Research,NNP
Centre,NNP
;,:
Research,NNP
staff,NN
affiliated,VBD
Graduate,NNP
School10,NNP
based,VBN
research,NN
degree,JJ
candidate,NN
affiliated,VBD
Graduate,NNP
School,NNP
.,.
Further,NNP
information,NN
found,VBD
Research,NNP
Degree,NNP
Policy,NNP
Document,NNP
6,CD
.,.
),)
Admission,NNP
Category,NNP
A,NNP
research,NN
degree,NN
candidates,NNS
Staff,NNP
Candidates,NNPS
near,IN
relatives11,VBP
The,DT
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
responsible,JJ
approval,NN
Category,NNP
A,NNP
candidates,NNS
admittance,RB
degree,JJ
recommendation,NN
Head,NNP
School,NNP
Chair,NNP
NBI,NNP
Graduate,NNP
School,NNP
Executive,NNP
.,.
Admission,NNP
Category,NNP
A,NNP
candidate,NN
requires,VBZ
completion,NN
appropriate,JJ
application,NN
form,NN
endorsement,NN
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
.,.
All,DT
staff,NN
candidates,NNS
,,,
whether,IN
classified,JJ
Category,NNP
A,NNP
,,,
near,JJ
relatives,NNS
must,MD
also,RB
complete,VB
application,NN
form,NN
.,.
b,NN
),)
Registration,NNP
Category,NNP
A,NNP
Candidates,VBZ
The,DT
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
responsible,JJ
following,NN
,,,
recommendation,NN
School/Institute,NNP
Director,NNP
Postgraduate,NNP
Research,NNP
:,:
formal,JJ
appointment,NN
superviof,NN
study,NN
research,NN
;,:
approval,NN
changes,NNS
registration,NN
delegated,VBD
Regulations,NNP
Head,NNP
School,NNP
(,(
including,VBG
reduction,NN
extensions,NNS
Periods,NNP
Study,NNP
Registration,NNP
),)
.,.
10,CD
This,DT
includes,VBZ
academic,JJ
staff,NN
Research,NNP
Associates,NNPS
.,.
11,CD
The,DT
University,NNP
considers,NNS
spouses,NNS
,,,
partners,NNS
,,,
children,NNS
,,,
parents,NNS
,,,
uncles,NNS
,,,
aunts,NNS
,,,
nieces,NNS
,,,
nephews,NNS
,,,
considered,VBN
next,JJ
kin,NN
,,,
grandchildren,JJ
members,NNS
staff,NN
may,MD
regarded,VB
near,IN
relatives,NNS
.,.
Page,VB
31,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
c,NN
),)
Annual,NNP
Progress,NNP
Review,NNP
Probationary,NNP
Review,NNP
Category,NNP
A,NNP
research,NN
degree,NN
candidates,NNS
The,DT
responsibility,NN
conducting,VBG
review,NN
annuafor,JJ
Category,NNP
A,NNP
candidates,NNS
rests,VBZ
Faculty,NNP
Associate,NNP
Dean,NNP
(,(
Postgraduate,NNP
Research,NNP
),)
,,,
Associate,NNP
Dean,NNP
conduct,NN
review,NN
along,IN
guidelines,NNS
refer,VBP
issues,NNS
arising,VBG
back,RB
supervisor,JJ
candidate,NN
.,.
The,DT
chair,NN
Probationary,NNP
Review,NNP
Panel,NNP
internal,JJ
assessor,NN
appointed,VBD
Faculty,NNP
Associate,NNP
Dean,NNP
(,(
Postgraduate,NNP
Research,NNP
),)
conjunction,NN
supervisory,JJ
team,NN
.,.
The,DT
Associate,NNP
Dean,NNP
confirm,VBP
School/Institute,NNP
Director,NNP
Postgraduate,NNP
Research,NNP
candidate,NN
registered,VBD
process,NN
completed,VBN
.,.
Where,WRB
significant,JJ
areas,NNS
concern,NN
progress,NN
identified,VBN
,,,
communicated,VBN
responsible,JJ
School/Institute,NNP
level,NN
candidatestudies,NNS
.,.
),)
Examination,NNP
Category,NNP
A,NNP
research,NN
degree,NN
candidates,NNS
The,DT
following,VBG
candidates,NNS
also,RB
considered,VBN
Category,NNP
A,NNP
purposes,VBZ
examination,NN
:,:
The,DT
following,VBG
candidates,NNS
left,VBD
University,NNP
12,CD
months,NNS
preceding,VBG
date,NN
submission,NN
Application,NNP
Approval,NNP
Thesis,NNP
Title,NNP
Examiners,NNP
form,NN
:,:
UEA,JJ
members,NNS
academic,JJ
staff,NN
;,:
Research,NNP
Associates,NNPS
Technical,NNP
staff,NN
based,VBN
School,NNP
Study,NNP
associated,VBD
UEA,NNP
Research,NNP
Centre,NNP
;,:
Research,NNP
staff,NN
affiliated,VBD
Graduate,NNP
School,NNP
,,,
based,VBN
research,NN
degree,JJ
candidate,NN
affiliated,VBD
Graduate,NNP
School,NNP
.,.
Candidates,NNP
appointed,VBD
members,NNS
UEA,NNP
academic,JJ
staff,NN
within,IN
six,CD
months,NNS
viva,FW
.,.
The,DT
following,JJ
candidates,NNS
may,MD
considered,VB
Category,NNP
A,NNP
certain,JJ
circumstances,NNS
:,:
Near,NNP
relatives,VBZ
UEA,NNP
staff,NN
members,NNS
;,:
Any,NNP
candidates,NNS
classified,VBD
studies,NNS
Category,NNP
A,NNP
left,VBD
University,NNP
last,JJ
12,CD
months,NNS
.,.
The,DT
examination,NN
Category,NNP
A,NNP
candidate,NN
shall,MD
conducted,VBN
exclusively,RB
external,JJ
examiners,NNS
appointed,VBN
Senate,NNP
recommendation,NN
Academic,NNP
Director,NNP
UEA,NNP
Doctoral,NNP
College,NNP
.,.
An,DT
Independent,JJ
Chair,NNP
member,NN
candidatebe,NN
appointed,VBD
provide,JJ
support,NN
external,JJ
examiners,NNS
ensure,VB
oral,JJ
examination,NN
conducted,VBD
fairly,RB
according,VBG
University,NNP
procedures,NNS
.,.
The,DT
role,NN
Independent,NNP
Chair,NNP
set,VBD
Instructions,NNP
Examiners,NNP
Research,NNP
Degree,NNP
Policy,NNP
Document,NNP
9,CD
.,.
Page,VB
32,CD
34,CD
The,DT
Code,NNP
Practice,NNP
Research,NNP
Degrees,NNP
2019-20,JJ
(,(
v1.2,JJ
November,NNP
2019,CD
),)
e,NN
),)
Admission,NNP
,,,
Registration,NNP
,,,
Annual,NNP
Review,NNP
Examination,NNP
Category,NNP
B,NNP
research,NN
degree,NN
candidates,NNS
The,DT
admission,NN
,,,
registration,NN
,,,
